"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000104660.19",563.812009971065,-0.509751598631466,0.312983373805011,-1.62868587054417,0.103379535393254,0.394420785429312
"ENSG00000104671.8",623.035859195265,-0.364716628413728,0.290385524549308,-1.25597386088644,0.209125447294202,0.547705044245072
"ENSG00000104679.12",1018.0967901785,-0.273536090435279,0.232026338303802,-1.17890103526578,0.238437585457726,0.579206190830148
"ENSG00000104687.14",4940.41058772664,-1.13202959780994,0.265501235501355,-4.26374512221115,2.01028742567456e-05,0.00234612367796373
"ENSG00000104689.10",443.478980616601,-0.479084091666257,0.324129885793731,-1.47806207530994,0.139391163854317,0.455104886045471
"ENSG00000104691.16",386.390073212095,-0.305857736754588,0.263996908569185,-1.15856559992419,0.246633297666034,0.58812555597285
"ENSG00000104695.13",2243.31530492804,-0.0265673399072432,0.147943080200305,-0.179578117957749,0.857483784731795,0.952900401942202
"ENSG00000104714.14",947.740296113787,-0.167025010125828,0.229221786966279,-0.728661146640478,0.46620896498423,0.765958390611038
"ENSG00000104722.14",31.6679717824814,0.308582999471255,0.632565196265082,0.48782797614104,0.625671693632552,0.85401794367118
"ENSG00000104723.21",2088.22403989047,0.319584571982745,0.314032961466097,1.01767843251463,0.308830800068958,0.64775294582343
"ENSG00000104728.16",81.9726564128651,0.421111123415601,0.391179977228924,1.0765150261491,0.281696984403903,0.622252904498805
"ENSG00000104731.14",874.178678805549,-0.404108563660984,0.175675629137792,-2.30031089482548,0.0214306128805477,0.183730655909283
"ENSG00000104738.18",3618.58824295431,-0.486974916927063,0.313702761609111,-1.55234501101988,0.120579693327095,0.424268373950221
"ENSG00000104756.16",1038.7175063182,-0.028744927253122,0.166882020406394,-0.172246999305988,0.863243349899681,0.955111891180017
"ENSG00000104760.17",17.7504485725768,-2.69775209318037,0.890193487713718,-3.03052328557132,0.00244130361540519,0.0548843781638969
"ENSG00000104763.20",7200.95735798106,0.393364761621881,0.274264886732402,1.43425126821168,0.15150057140521,0.471987124315
"ENSG00000104765.16",3514.83801091319,-0.732219073692371,0.248957120328397,-2.94114533750434,0.00327001067185813,0.0656364187979394
"ENSG00000104774.13",2541.13751370645,-0.337137048752134,0.164032035824647,-2.05531222640277,0.039848857154603,0.247320539920956
"ENSG00000104783.14",295.898248560282,-1.15361558516296,0.446022147720261,-2.58645358993807,0.0096969228111525,0.118513520681683
"ENSG00000104804.8",119.262398152877,-2.15496216790926,0.587459014060892,-3.66827662241964,0.000244190907047484,0.0125565812418715
"ENSG00000104805.16",2486.42591332162,-0.251783641428967,0.177433367487752,-1.41903208508032,0.15588966213408,0.47790639661192
"ENSG00000104808.8",14.3062160595242,-0.659846733001455,0.537035435950999,-1.22868378663501,0.219190387418907,0.560044157651769
"ENSG00000104812.15",2802.4643540728,-0.36258549213984,0.177070937299823,-2.04768494293277,0.0405908801484316,0.249245753867074
"ENSG00000104814.13",549.423046945524,-0.00129988238212464,0.390733799206078,-0.00332677230576377,0.997345624636104,0.999282355355942
"ENSG00000104823.9",815.442298704302,-0.461534788725007,0.198113450880798,-2.32964892930317,0.0198247138383725,0.175977091104892
"ENSG00000104824.17",2883.72728764288,0.105168784336287,0.124299801012165,0.846089724037398,0.397502692825471,0.721321959663782
"ENSG00000104825.17",239.529595467213,-0.10646059240981,0.200190151827537,-0.531797350858322,0.594866357765655,0.840025048819167
"ENSG00000104826.15",46.1488846949889,-0.372872437478479,0.456926438306498,-0.816044785809402,0.414474521338097,0.733924229274228
